Hazmat,PO,FlatBed,Reefer,Vans,Year,MoY,DoM,DoY,DoW,Bill Distance,Total Miles,Origin Latitude,Origin Longitude,Destination Latitude,Destination Longitude,Pay Per Total Mile
0.0,0,0,0,1,2021,12,6,340,1,210.0,210.0,37.6297,-122.1105,39.3259,-120.206,5.24
0.0,0,1,0,0,2021,12,6,340,1,2021.0,2021.0,41.7538,-87.6998,33.774,-118.2394,5.07
0.0,0,1,0,0,2021,12,8,342,3,2021.0,2021.0,41.7538,-87.6998,33.774,-118.2394,4.08
0.0,0,1,0,0,2021,10,29,302,5,2473.0,2473.0,41.3815,-88.1477,34.0979,-117.5235,3.21
0.0,0,0,0,1,2021,12,17,351,5,888.0,888.0,42.3167,-88.292,32.4938,-94.7682,3.15
0.0,0,1,0,0,2022,2,8,39,2,52.0,52.0,34.0979,-117.5235,33.774,-118.2394,23.08
0.0,0,0,0,1,2022,2,15,46,2,424.0,424.0,43.7164,-73.0615,39.2647,-76.6432,4.25
0.0,0,0,0,1,2022,2,22,53,2,529.0,529.0,34.2488,-83.8478,29.9427,-90.1819,3.07
0.0,0,0,0,1,2022,2,28,59,1,280.0,280.0,32.6667,-95.1917,36.2155,-95.8488,4.29
0.0,1,0,0,0,2022,2,14,45,1,575.0,941.0,35.005,-89.8718,35.005,-89.8718,2.34
0.0,1,0,0,0,2022,2,15,46,2,941.0,941.0,35.005,-89.8718,35.005,-89.8718,2.34
0.0,1,0,0,0,2022,2,28,59,1,470.5,471.0,40.0382,-86.4824,35.005,-89.8718,3.61
0.0,1,0,0,0,2022,2,28,59,1,470.5,470.0,35.005,-89.8718,40.0382,-86.4824,2.87
0.0,1,0,0,0,2022,2,16,47,3,941.0,941.0,35.005,-89.8718,35.005,-89.8718,2.34
0.0,0,0,1,0,2022,2,15,46,2,191.0,191.0,41.9406,-87.9062,39.6843,-86.3623,8.12
0.0,0,0,0,1,2022,2,15,46,2,258.0,258.0,36.1105,-86.7632,33.8255,-84.1855,6.4
0.0,0,0,0,1,2022,2,15,46,2,1048.0,1048.0,44.257,-75.399,33.6579,-83.986,4.31
0.0,0,0,0,1,2022,2,14,45,1,198.0,198.0,36.1105,-86.7632,34.6901,-84.4787,5.81
0.0,0,0,0,1,2022,2,15,46,2,386.0,386.0,40.0329,-81.6053,39.1114,-88.5543,5.18
0.0,0,0,0,1,2022,2,15,46,2,676.0,676.0,34.7957,-84.7721,42.2551,-89.095,2.96
0.0,0,0,0,1,2022,2,15,46,2,589.0,589.0,34.7957,-84.7721,41.5673,-87.6447,3.14
0.0,0,0,0,1,2022,2,16,47,3,676.0,676.0,34.7957,-84.7721,42.217,-89.0748,2.66
0.0,0,0,0,1,2022,2,16,47,3,877.0,877.0,43.7164,-73.0615,41.6813,-87.6083,3.76
0.0,0,0,1,0,2022,2,16,47,3,465.0,465.0,40.4466,-76.4222,35.7598,-80.7859,5.77
0.0,0,0,0,1,2022,2,17,48,4,98.0,98.0,39.2647,-76.6432,40.4466,-76.4222,8.67
0.0,0,0,1,0,2022,2,17,48,4,694.0,694.0,40.3439,-76.4677,39.1114,-88.5543,3.85
0.0,0,0,0,1,2022,2,16,47,3,98.0,98.0,39.2647,-76.6432,40.4466,-76.4222,12.04
0.0,0,0,0,1,2022,2,18,49,5,1122.0,1122.0,40.3754,-74.5117,41.5479,-93.7018,3.57
0.0,0,0,0,1,2022,2,21,52,1,332.0,332.0,41.6285,-87.5429,44.564,-91.6665,4.82
0.0,0,0,0,1,2022,2,17,48,4,501.0,501.0,33.6103,-85.9742,28.5604,-81.4221,4.39
0.0,0,0,0,1,2022,2,18,49,5,501.0,501.0,33.6103,-85.9742,28.5604,-81.4221,4.15
0.0,0,0,0,1,2022,2,22,53,2,542.0,542.0,33.6103,-85.9742,37.042,-78.4854,3.47
0.0,0,0,0,1,2022,2,22,53,2,132.0,132.0,33.6103,-85.9742,34.294,-87.6923,6.73
0.0,0,0,0,1,2022,2,22,53,2,427.0,427.0,43.7164,-73.0615,39.1927,-76.5649,4.68
0.0,0,0,0,1,2022,2,18,49,5,813.0,813.0,32.818,-83.2485,42.1179,-87.9252,2.71
0.0,0,0,0,1,2022,2,18,49,5,169.0,169.0,33.6579,-83.986,33.6579,-86.7163,7.35
0.0,0,0,0,1,2022,2,19,50,6,329.0,329.0,36.1105,-86.7632,32.7797,-83.6598,3.5
0.0,0,0,0,1,2022,2,18,49,5,424.0,424.0,43.7164,-73.0615,39.2647,-76.6432,4.95
1.0,0,0,0,1,2022,2,21,52,1,393.0,393.0,36.0787,-79.9142,39.9027,-82.9397,6.87
0.0,0,0,0,1,2022,2,21,52,1,835.0,835.0,32.9736,-82.8222,42.1178,-87.9242,2.4
0.0,0,0,0,1,2022,2,18,49,5,877.0,877.0,43.7164,-73.0615,41.6813,-87.6083,3.76
0.0,0,0,1,0,2022,2,18,49,5,128.0,128.0,40.4466,-76.4222,39.4064,-78.0188,14.84
0.0,0,0,0,1,2022,2,21,52,1,835.0,835.0,32.9736,-82.8222,42.1178,-87.9242,2.22
0.0,0,0,0,1,2022,2,21,52,1,618.0,618.0,39.2647,-76.6432,34.1502,-83.9562,3.07
0.0,0,0,0,1,2022,2,21,52,1,330.0,330.0,37.7214,-84.2843,35.7598,-80.7859,4.09
0.0,0,0,0,1,2022,2,21,52,1,386.0,386.0,40.0329,-81.6053,39.1114,-88.5543,4.92
0.0,0,0,1,0,2022,2,22,53,2,393.0,393.0,37.7214,-84.2843,41.656,-88.1182,4.33
0.0,0,0,1,0,2022,2,21,52,1,688.0,688.0,40.3439,-76.4677,41.656,-88.1182,3.05
0.0,0,0,0,1,2022,2,24,55,4,48.0,48.0,33.6103,-85.9742,33.4769,-86.8558,13.54
0.0,0,0,0,1,2022,2,21,52,1,588.0,588.0,34.7957,-84.7721,41.6134,-87.6216,2.72
0.0,0,0,1,0,2022,2,22,53,2,698.0,698.0,40.4466,-76.4222,34.1502,-83.9562,4.58
0.0,0,1,0,0,2022,2,22,53,2,2089.0,2089.0,32.8402,-79.9362,32.8402,-79.9362,3.35
0.0,0,0,0,1,2022,2,17,48,4,655.0,655.0,34.4285,-84.3366,39.2647,-76.6432,3.51
0.0,0,0,0,1,2022,2,23,54,3,676.0,676.0,34.7957,-84.7721,42.2551,-89.095,3.09
0.0,0,0,0,1,2022,2,23,54,3,628.0,628.0,42.7611,-86.0808,40.4437,-76.4283,4.78
0.0,0,0,0,1,2022,2,23,54,3,768.0,785.0,43.1191,-89.3146,33.4267,-91.0391,4.2
0.0,0,0,1,0,2022,2,22,53,2,540.0,540.0,42.0309,-87.977,35.1766,-89.8566,3.98
0.0,0,0,0,1,2022,2,23,54,3,533.0,533.0,40.5033,-80.0997,34.8351,-82.6243,4.1
0.0,0,0,0,1,2022,2,23,54,3,517.0,517.0,36.7358,-79.8743,33.4663,-86.8366,3.38
0.0,0,0,0,1,2022,2,25,56,5,1307.0,1307.0,40.3754,-74.5117,29.6624,-90.7031,2.75
